Time (s),Sample #,Channel A (V)
0.511310,0,0.020295
0.511374,1,0.020295
0.511380,2,-0.023652
0.511389,3,-0.023652
0.511392,4,0.020295
0.511395,5,0.020295
0.511397,6,-0.023652
0.511400,7,0.020295
0.511403,8,0.020295
0.511406,9,0.020295
0.511531,10,-0.023652
0.511538,11,0.020295
0.511541,12,0.020295
0.511543,13,0.020295
0.511546,14,0.020295
0.511548,15,0.020295
0.511551,16,0.020295
0.511553,17,-0.023652
0.511556,18,0.020295
0.511558,19,0.020295
0.511561,20,-0.023652
0.511563,21,0.020295
0.511566,22,0.020295
0.511568,23,0.020295
0.511571,24,0.020295
0.511573,25,-0.023652
0.511576,26,-0.023652
0.511579,27,-0.023652
0.511582,28,0.020295
0.511584,29,0.020295
0.511586,30,-0.023652
0.511589,31,-0.023652
0.511591,32,-0.023652
0.511594,33,0.020295
0.511596,34,0.020295
0.511599,35,0.020295
0.511601,36,-0.023652
0.511604,37,0.020295
0.511606,38,0.020295
0.511608,39,0.020295
0.511610,40,-0.023652
0.511613,41,-0.023652
0.511616,42,-0.023652
0.511618,43,0.020295
0.511620,44,0.020295
0.511623,45,0.020295
0.511625,46,0.020295
0.511627,47,-0.023652
0.511630,48,0.020295
0.511632,49,0.020295
0.511635,50,-0.023652
0.511637,51,-0.023652
0.511639,52,0.020295
0.511642,53,0.020295
0.511644,54,-0.023652
0.511647,55,-0.023652
0.511649,56,-0.023652
0.511651,57,-0.023652
0.511654,58,0.020295
0.511656,59,0.020295
0.511659,60,-0.023652
0.511661,61,0.020295
0.511663,62,-0.023652
0.511666,63,-0.023652
0.511668,64,0.020295
0.511671,65,0.020295
0.511673,66,-0.023652
0.511675,67,-0.023652
0.511678,68,0.020295
0.511680,69,0.020295
0.511683,70,-0.023652
0.511685,71,0.020295
0.511687,72,-0.023652
0.511690,73,0.020295
0.511692,74,0.020295
0.511695,75,0.020295
0.511697,76,0.020295
0.511699,77,0.020295
0.511702,78,0.020295
0.511704,79,0.020295
0.511706,80,-0.023652
0.511709,81,-0.023652
0.511711,82,-0.023652
0.511713,83,0.020295
0.511715,84,0.020295
0.511718,85,0.020295
0.511720,86,-0.023652
0.511722,87,-0.023652
0.511725,88,0.020295
0.511727,89,0.020295
0.511729,90,-0.023652
0.511732,91,-0.023652
0.511734,92,-0.023652
0.511737,93,-0.023652
0.511739,94,0.020295
0.511741,95,0.020295
0.511743,96,0.020295
0.511746,97,0.020295
0.511748,98,0.020295
0.511750,99,0.020295
0.511752,100,0.020295
0.511755,101,-0.023652
0.511757,102,0.020295
0.511759,103,0.020295
0.511762,104,0.020295
0.511764,105,0.020295
0.511766,106,0.020295
0.511768,107,0.020295
0.511771,108,0.020295
0.511773,109,-0.023652
0.511775,110,-0.023652
0.511778,111,0.020295
0.511780,112,-0.023652
0.511782,113,0.020295
0.511784,114,0.020295
0.511787,115,-0.023652
0.511789,116,0.020295
0.511791,117,0.020295
0.511794,118,0.020295
0.511796,119,0.020295
0.511798,120,0.020295
0.511800,121,0.020295
0.511803,122,0.020295
0.511805,123,-0.023652
0.511807,124,-0.023652
0.511810,125,0.020295
0.511813,126,0.020295
0.511815,127,0.020295
0.511817,128,0.020295
0.511819,129,0.020295
0.511822,130,-0.023652
0.511824,131,0.020295
0.511826,132,-0.023652
0.511829,133,-0.023652
0.511831,134,-0.023652
0.511833,135,0.020295
0.511835,136,0.020295
0.511838,137,-0.023652
0.511840,138,-0.023652
0.511843,139,0.020295
0.511845,140,0.020295
0.511847,141,-0.023652
0.511850,142,0.020295
0.511852,143,0.020295
0.511854,144,0.020295
0.511856,145,0.020295
0.511859,146,0.020295
0.511861,147,0.020295
0.511863,148,-0.023652
0.511865,149,0.020295
0.511868,150,-0.023652
0.511870,151,-0.023652
0.511872,152,-0.023652
0.511875,153,0.020295
0.511877,154,0.020295
0.511879,155,0.020295
0.511881,156,-0.023652
0.511884,157,0.020295
0.511886,158,-0.023652
0.511889,159,0.020295
0.511891,160,-0.023652
0.511893,161,0.020295
0.511895,162,0.020295
0.511898,163,-0.023652
0.511900,164,0.020295
0.511902,165,-0.023652
0.511905,166,-0.023652
0.511907,167,0.020295
0.511910,168,-0.023652
0.511912,169,0.020295
0.511914,170,0.020295
0.511916,171,-0.023652
0.511919,172,0.020295
0.511921,173,0.020295
0.511923,174,0.020295
0.511926,175,0.020295
0.511928,176,0.020295
0.511930,177,0.020295
0.511933,178,0.020295
0.511935,179,-0.023652
0.511937,180,0.020295
0.511940,181,0.020295
0.511942,182,-0.023652
0.511945,183,0.020295
0.511947,184,0.020295
0.511949,185,-0.023652
0.511952,186,-0.023652
0.511954,187,-0.023652
0.511956,188,-0.023652
0.511959,189,-0.023652
0.511961,190,0.020295
0.511963,191,-0.023652
0.511966,192,-0.023652
0.511968,193,-0.023652
0.511970,194,0.020295
